RUSHING,GP,ATT,ATT/G,YDS,AVG,YDS/G,TD,LNG,BIG,100+,STUFF,YDS,FUM,FUML,1ST,PCT
"Cooks, BrandinÿNE",16,9,0.6,40,4.4,2.5,0,13,3,0,3,11,0,0,2,22.20%
"Ginn Jr., TedÿNO",15,10,0.7,39,3.9,2.6,0,15,2,0,3,16,0,0,2,20.00%
"Jackson, DeSeanÿTB",14,3,0.2,38,12.7,2.7,0,23,1,0,0,0,0,0,1,33.30%
"Nelson, J.J.ÿARZ",16,3,0.2,37,12.3,2.3,0,16,2,0,0,0,0,0,2,66.70%
"Hill, BrianÿCIN",7,11,1.6,37,3.4,5.3,0,11,1,0,1,2,0,0,2,18.20%
"Crowder, JamisonÿWSH",15,7,0.5,34,4.9,2.3,0,11,1,0,1,1,0,0,1,14.30%
"Williams, ChadÿARZ",6,2,0.3,33,16.5,5.5,0,33,1,0,0,0,0,0,1,50.00%
"Cutler, JayÿMIA",14,19,1.4,32,1.7,2.3,0,9,0,0,0,0,2,0,3,15.80%
"Heyward-Bey, DarriusÿPIT",16,2,0.1,32,16,2,1,29,1,0,0,0,0,0,1,50.00%
"Marshall, ByronÿWSH",4,9,2.3,32,3.6,8,0,11,1,0,1,3,0,0,1,11.10%
"Juszczyk, KyleÿSF",14,7,0.5,31,4.4,2.2,0,12,1,0,0,0,0,0,4,57.10%
"Perry, SenoriseÿMIA",16,8,0.5,30,3.8,1.9,0,12,1,0,2,3,0,0,2,25.00%
"Mostert, RaheemÿSF",11,6,0.5,30,5,2.7,0,16,1,0,0,0,1,1,1,16.70%
"Lynch, PaxtonÿDEN",2,5,2.5,30,6,15,0,11,1,0,0,0,0,0,2,40.00%
"Cunningham, BennyÿCHI",14,9,0.6,29,3.2,2.1,0,12,1,0,1,1,0,0,1,11.10%
"Brown, MackÿMIN",4,8,2,29,3.6,7.3,0,11,1,0,2,2,0,0,1,12.50%
"Brady, TomÿNE",16,25,1.6,28,1.1,1.8,0,7,0,0,0,0,1,1,7,28.00%
"Line, ZachÿNO",12,7,0.6,28,4,2.3,0,9,0,0,0,0,0,0,5,71.40%
"Clay, KaelinÿCAR",13,3,0.2,27,9,2.1,0,29,1,0,1,2,0,0,1,33.30%
"Stewart, ArDariusÿNYJ",15,7,0.5,27,3.9,1.8,0,11,1,0,1,1,0,0,2,28.60%
"Manning, EliÿNYG",15,12,0.8,26,2.2,1.7,1,14,1,0,0,0,1,0,2,16.70%
"Zenner, ZachÿDET",8,14,1.8,26,1.9,3.3,1,14,1,0,3,8,0,0,2,14.30%
"Williams, AndreÿLAC",8,9,1.1,25,2.8,3.1,0,7,0,0,1,2,0,0,0,0.00%
"Toussaint, FitzgeraldÿPIT",6,6,1,25,4.2,4.2,0,7,0,0,0,0,0,0,1,16.70%
"Jones, ChrisÿDAL",16,1,0.1,24,24,1.5,0,24,1,0,0,0,0,0,1,100.00%
"Watt, DerekÿLAC",16,6,0.4,24,4,1.5,0,17,1,0,0,0,0,0,2,33.30%
"Johnson, DavidÿARZ",1,11,11,23,2.1,23,0,6,0,0,1,2,1,1,0,0.00%
"Hunt, AkeemÿKC",15,8,0.5,23,2.9,1.5,0,11,1,0,1,10,0,0,1,12.50%
"Prosise, C.J.ÿSEA",5,11,2.2,23,2.1,4.6,0,8,0,0,2,2,0,0,1,9.10%
"Peterman, NathanÿBUF",4,7,1.8,23,3.3,5.8,0,9,0,0,0,0,2,0,1,14.30%
"Tate, GoldenÿDET",16,5,0.3,22,4.4,1.4,0,10,1,0,0,0,0,0,1,20.00%
"Bryant, MartavisÿPIT",15,6,0.4,22,3.7,1.5,0,13,1,0,1,9,0,0,0,0.00%
"Sudfeld, NateÿPHI",1,1,1,22,22,22,0,22,1,0,0,0,0,0,1,100.00%
"Fluellen, DavidÿTEN",16,4,0.3,21,5.3,1.3,0,10,1,0,0,0,0,0,1,25.00%
"Shepard, RussellÿCAR",15,2,0.1,19,9.5,1.3,0,11,1,0,0,0,0,0,1,50.00%
"Foster, D.J.ÿARZ",7,6,0.9,19,3.2,2.7,0,5,0,0,0,0,0,0,0,0.00%
"Whittaker, FozzyÿCAR",12,7,0.6,18,2.6,1.5,0,8,0,0,1,3,0,0,2,28.60%
"Cobb, RandallÿGB",15,9,0.6,17,1.9,1.1,0,10,1,0,2,7,0,0,1,11.10%
"Hogan, ChrisÿNE",9,3,0.3,17,5.7,1.9,0,13,1,0,0,0,0,0,1,33.30%
"Lee, MarqiseÿJAX",14,1,0.1,17,17,1.2,0,17,1,0,0,0,0,0,1,100.00%
"Ellington, BruceÿHOU",11,3,0.3,17,5.7,1.5,0,13,1,0,1,1,0,0,1,33.30%
"Reedy, BernardÿNE",11,3,0.3,17,5.7,1.5,0,10,1,0,0,0,0,0,1,33.30%
"Erickson, AlexÿCIN",16,5,0.3,16,3.2,1,0,14,1,0,2,7,0,0,1,20.00%
"Jones, JulioÿATL",16,1,0.1,15,15,0.9,0,15,1,0,0,0,0,0,1,100.00%
"Manuel, EJÿOAK",2,2,1,15,7.5,7.5,0,10,1,0,0,0,0,0,1,50.00%
"Williams, TerranceÿDAL",16,2,0.1,15,7.5,0.9,0,9,0,0,0,0,0,0,1,50.00%
"Natson Jr., JoJoÿNYJ",7,1,0.1,15,15,2.1,0,15,1,0,0,0,0,0,1,100.00%
"Ebner, NateÿNE",9,1,0.1,14,14,1.6,0,14,1,0,0,0,1,0,1,100.00%
"Gray, MarQueisÿMIA",16,5,0.3,14,2.8,0.9,0,5,0,0,0,0,0,0,3,60.00%
"Jones, MattÿIND",5,5,1,14,2.8,2.8,0,5,0,0,0,0,0,0,1,20.00%
"Lewis, TommyleeÿNO",15,2,0.1,14,7,0.9,0,8,0,0,0,0,0,0,0,0.00%
"Engram, EvanÿNYG",15,1,0.1,14,14,0.9,0,14,1,0,0,0,0,0,1,100.00%
"Daniels Jr., LeShunÿWSH",4,3,0.8,14,4.7,3.5,0,8,0,0,0,0,0,0,0,0.00%
"Diggs, StefonÿMIN",14,8,0.6,13,1.6,0.9,0,9,0,0,3,15,0,0,1,12.50%
"Ripkowski, AaronÿGB",16,5,0.3,13,2.6,0.8,0,4,0,0,0,0,0,0,0,0.00%
"Davis, TrevorÿGB",16,2,0.1,13,6.5,0.8,0,9,0,0,0,0,0,0,0,0.00%
"Ham, C.J.ÿMIN",16,7,0.4,13,1.9,0.8,1,3,0,0,0,0,0,0,5,71.40%
"Everett, GeraldÿLAR",16,1,0.1,13,13,0.8,0,13,1,0,0,0,0,0,1,100.00%
"Henderson, De'AngeloÿDEN",5,7,1.4,13,1.9,2.6,0,5,0,0,1,3,0,0,2,28.60%
"Dayes, MatthewÿCLE",16,5,0.3,13,2.6,0.8,0,4,0,0,0,0,0,0,1,20.00%
"Rush, CooperÿDAL",2,2,1,13,6.5,6.5,0,15,1,0,0,0,0,0,1,50.00%
"Brees, DrewÿNO",16,33,2.1,12,0.4,0.8,2,7,0,0,0,0,2,0,7,21.20%
"Palmer, CarsonÿARZ",7,14,2,12,0.9,1.7,0,4,0,0,0,0,2,0,5,35.70%
"Woods, RobertÿLAR",12,2,0.2,12,6,1,0,8,0,0,0,0,0,0,0,0.00%
"Smith, GenoÿNYG",2,4,2,12,3,6,0,10,1,0,0,0,0,0,2,50.00%
"Byrd, DamiereÿCAR",8,1,0.1,12,12,1.5,0,12,1,0,0,0,0,0,1,100.00%
"Ervin, TylerÿHOU",4,4,1,12,3,3,0,6,0,0,1,2,0,0,1,25.00%
"Janovich, AndyÿDEN",16,6,0.4,12,2,0.8,1,4,0,0,1,1,0,0,3,50.00%
"Grant, JakeemÿMIA",16,3,0.2,12,4,0.8,0,7,0,0,0,0,0,0,0,0.00%
"Ross, JohnÿCIN",3,1,0.3,12,12,4,0,12,1,0,0,0,1,1,0,0.00%
"Thielen, AdamÿMIN",16,1,0.1,11,11,0.7,0,11,1,0,0,0,0,0,1,100.00%
"Garoppolo, JimmyÿSF",6,15,2.5,11,0.7,1.8,1,8,0,0,1,3,1,0,3,20.00%
"Sanu, MohamedÿATL",15,4,0.3,10,2.5,0.7,0,4,0,0,0,0,0,0,3,75.00%
"Brown, JohnÿARZ",10,1,0.1,10,10,1,0,10,1,0,0,0,0,0,1,100.00%
"Redfern, KaseyÿDET",1,1,1,10,10,10,0,10,1,0,0,0,1,0,0,0.00%
"Mahomes II, PatrickÿKC",1,7,7,10,1.4,10,0,5,0,0,0,0,0,0,0,0.00%
"Moore, MattÿMIA",4,3,0.8,9,3,2.3,0,7,0,0,0,0,0,0,1,33.30%
"Allen, KeenanÿLAC",16,2,0.1,9,4.5,0.6,0,6,0,0,0,0,0,0,0,0.00%
"Burton, MichaelÿCHI",16,4,0.3,9,2.3,0.6,0,7,0,0,0,0,0,0,2,50.00%
"Fuller V, WillÿHOU",10,2,0.2,9,4.5,0.9,0,5,0,0,0,0,0,0,0,0.00%
"Anderson, RobbyÿNYJ",16,3,0.2,9,3,0.6,0,7,0,0,0,0,0,0,0,0.00%
"Golladay, KennyÿDET",11,1,0.1,9,9,0.8,0,9,0,0,0,0,0,0,0,0.00%
"Agnew, JamalÿDET",13,2,0.2,9,4.5,0.7,0,5,0,0,0,0,0,0,1,50.00%
"Coleman, DerrickÿATL",16,2,0.1,8,4,0.5,0,5,0,0,0,0,0,0,0,0.00%
"Beckham Jr., OdellÿNYG",4,1,0.3,8,8,2,0,8,0,0,0,0,0,0,0,0.00%
"Fales, DavidÿMIA",2,4,2,8,2,4,1,3,0,0,0,0,0,0,1,25.00%
"Watson, TerrellÿNYG",10,5,0.5,8,1.6,0.8,0,3,0,0,0,0,0,0,3,60.00%
"Rogers, ChesterÿIND",11,3,0.3,8,2.7,0.7,0,7,0,0,1,2,0,0,0,0.00%
"Wilson, BoboÿTB",3,3,1,8,2.7,2.7,0,8,0,0,1,4,0,0,0,0.00%
"Stanton, DrewÿARZ",5,9,1.8,7,0.8,1.4,0,5,0,0,0,0,0,0,2,22.20%
"Kelce, TravisÿKC",15,2,0.1,7,3.5,0.5,0,4,0,0,0,0,0,0,2,100.00%
"Agholor, NelsonÿPHI",16,1,0.1,7,7,0.4,0,7,0,0,0,0,0,0,1,100.00%
"Dorsett, PhillipÿNE",15,1,0.1,7,7,0.5,0,7,0,0,0,0,0,0,0,0.00%
"Whitehead, JermaineÿGB",10,1,0.1,7,7,0.7,0,7,0,0,0,0,0,0,1,100.00%
"Bellamy, JoshÿCHI",15,1,0.1,6,6,0.4,0,6,0,0,0,0,0,0,0,0.00%
"Wilson, AlbertÿKC",13,3,0.2,6,2,0.5,0,6,0,0,1,4,0,0,1,33.30%
"Williams, MaxxÿBAL",11,2,0.2,6,3,0.5,0,4,0,0,0,0,0,0,2,100.00%
"Humphries, AdamÿTB",16,1,0.1,6,6,0.4,0,6,0,0,0,0,0,0,1,100.00%
"Cooper, PharohÿLAR",16,1,0.1,6,6,0.4,0,6,0,0,0,0,0,0,1,100.00%
"Treggs, BryceÿPHI",6,1,0.2,6,6,1,0,6,0,0,0,0,0,0,0,0.00%
"Bohanon, TommyÿJAX",16,5,0.3,5,1,0.3,2,3,0,0,0,0,0,0,2,40.00%
"Ferguson, JoshÿIND",10,1,0.1,5,5,0.5,0,5,0,0,0,0,0,0,0,0.00%
"Switzer, RyanÿDAL",16,4,0.3,5,1.3,0.3,0,3,0,0,1,4,0,0,0,0.00%
"Hollister, JacobÿNE",15,1,0.1,5,5,0.3,0,5,0,0,0,0,0,0,0,0.00%
"Hoyer, BrianÿNE",11,9,0.8,4,0.4,0.4,1,9,0,0,1,5,2,0,2,22.20%
"Wallace, MikeÿBAL",15,1,0.1,4,4,0.3,0,4,0,0,0,0,0,0,0,0.00%
"Paul, NilesÿWSH",14,2,0.1,4,2,0.3,0,5,0,0,1,1,0,0,1,50.00%
"Glennon, MikeÿCHI",4,4,1,4,1,1,0,2,0,0,0,0,2,1,0,0.00%
"Thomas, De'AnthonyÿKC",16,1,0.1,4,4,0.3,0,4,0,0,0,0,0,0,0,0.00%
"Cooper, AmariÿOAK",14,1,0.1,4,4,0.3,0,4,0,0,0,0,0,0,1,100.00%
"Fowler, JalstonÿSEA",10,2,0.2,4,2,0.4,1,3,0,0,0,0,0,0,1,50.00%
"Shepard, SterlingÿNYG",11,4,0.4,4,1,0.4,0,12,1,0,2,14,0,0,1,25.00%
"Higgins, RashardÿCLE",15,1,0.1,4,4,0.3,0,4,0,0,0,0,0,0,0,0.00%
"Lutz, WilÿNO",16,1,0.1,4,4,0.3,0,4,0,0,0,0,0,0,0,0.00%
"McKenzie, IsaiahÿDEN",11,1,0.1,4,4,0.4,0,4,0,0,0,0,0,0,0,0.00%
"Foles, NickÿPHI",7,11,1.6,3,0.3,0.4,0,9,0,0,0,0,3,1,1,9.10%
"King, TavarresÿNYG",8,2,0.3,3,1.5,0.4,0,11,1,0,1,8,0,0,1,50.00%
"Kuhn, JohnÿNO",2,1,0.5,2,2,1,0,2,0,0,0,0,0,0,1,100.00%
"Tolzien, ScottÿIND",1,2,2,2,1,2,0,3,0,0,0,0,0,0,0,0.00%
"Rainey, BobbyÿBAL",4,1,0.3,2,2,0.5,0,2,0,0,0,0,0,0,0,0.00%
"Savage, TomÿHOU",8,4,0.5,2,0.5,0.3,0,3,0,0,0,0,0,0,0,0.00%
"Berhe, NatÿNYG",15,1,0.1,2,2,0.1,0,2,0,0,0,0,0,0,1,100.00%
"Mayle, VinceÿBAL",16,2,0.1,2,1,0.1,1,2,0,0,0,0,0,0,1,50.00%
"Heinicke, TaylorÿHOU",1,1,1,2,2,2,0,2,0,0,0,0,0,0,0,0.00%
"Malone, JoshÿCIN",11,2,0.2,2,1,0.2,0,4,0,0,1,2,0,0,0,0.00%
"Williams, KyleÿBUF",16,1,0.1,1,1,0.1,1,1,0,0,0,0,0,0,1,100.00%
"Miller, BraxtonÿHOU",11,1,0.1,1,1,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Thomas, LawrenceÿNYJ",14,2,0.1,1,0.5,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Njoku, DavidÿCLE",16,1,0.1,1,1,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Mays, DevanteÿGB",8,4,0.5,1,0.3,0.1,0,2,0,0,1,4,2,1,0,0.00%
"Davis, JustinÿLAR",4,1,0.3,1,1,0.3,0,1,0,0,0,0,0,0,0,0.00%
"Weems, EricÿTEN",16,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
"Smith, EvanÿTB",15,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Unger, MaxÿNO",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Spiller, C.J.ÿKC",1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0.00%
"Bosher, MattÿATL",16,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
"Hudson, RodneyÿOAK",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Pouncey, MikeÿMIA",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Harris, JoshÿATL",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Kearse, JermaineÿNYJ",16,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-
"Tretter, JCÿCLE",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Bray, TylerÿKC",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.00%
"Hubbard, ChrisÿPIT",16,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Devey, JordanÿKC",9,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Jensen, RyanÿBAL",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Linsley, CoreyÿGB",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Paradis, MattÿDEN",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Fulton, ZachÿKC",15,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Nix, RooseveltÿPIT",16,3,0.2,0,0,0,1,1,0,0,1,1,0,0,1,33.30%
"Pulley, SpencerÿLAC",16,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Bond, DeyshawnÿIND",4,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Davis, AustinÿSEA",3,1,0.3,-1,-1,-0.3,0,-1,0,0,0,0,0,0,0,0.00%
"Kessler, CodyÿCLE",3,1,0.3,-1,-1,-0.3,0,-1,0,0,0,0,0,0,0,0.00%
"Raymond, KalifÿNYG",8,1,0.1,-1,-1,-0.1,0,-1,0,0,1,1,0,0,0,0.00%
"Rivers, PhilipÿLAC",16,18,1.1,-2,-0.1,-0.1,0,8,0,0,1,2,3,0,1,5.60%
"Anderson, DerekÿCAR",3,2,0.7,-2,-1,-0.7,0,-1,0,0,0,0,0,0,0,0.00%
"Walker, DelanieÿTEN",16,2,0.1,-2,-1,-0.1,1,1,0,0,1,3,0,0,1,50.00%
"McFadden, DarrenÿDAL",1,1,1,-2,-2,-2,0,-2,0,0,1,2,0,0,0,0.00%
"Daniel, ChaseÿNO",1,3,3,-2,-0.7,-2,0,0,0,0,0,0,0,0,0,0.00%
"DiMarco, PatrickÿBUF",16,2,0.1,-2,-1,-0.1,0,0,0,0,1,2,0,0,0,0.00%
"Mannion, SeanÿLAR",5,9,1.8,-2,-0.2,-0.4,0,3,0,0,0,0,1,0,3,33.30%
"Hill, BronsonÿARZ",2,1,0.5,-2,-2,-1,0,-2,0,0,1,2,0,0,0,0.00%
"Bradford, SamÿMIN",2,2,1,-3,-1.5,-1.5,0,-1,0,0,0,0,0,0,0,0.00%
"Smith, TorreyÿPHI",16,1,0.1,-3,-3,-0.2,0,-3,0,0,1,3,0,0,0,0.00%
"Matthews, RishardÿTEN",14,1,0.1,-3,-3,-0.2,0,-3,0,0,1,3,0,0,0,0.00%
"Mallett, RyanÿBAL",2,4,2,-3,-0.8,-1.5,0,0,0,0,0,0,1,0,1,25.00%
"Bridgewater, TeddyÿMIN",1,3,3,-3,-1,-3,0,-1,0,0,0,0,0,0,0,0.00%
"Bryant, DezÿDAL",16,1,0.1,-4,-4,-0.3,0,-4,0,0,1,4,0,0,0,0.00%
"Clemens, KellenÿLAC",8,5,0.6,-5,-1,-0.6,0,-1,0,0,0,0,0,0,0,0.00%
"Henne, ChadÿJAX",2,5,2.5,-5,-1,-2.5,0,-1,0,0,0,0,0,0,0,0.00%
"Thompson, DeonteÿBUF",16,2,0.1,-5,-2.5,-0.3,0,0,0,0,1,5,0,0,0,0.00%
"Landry, JarvisÿMIA",16,1,0.1,-7,-7,-0.4,0,-7,0,0,1,7,0,0,0,0.00%
"Baldwin, DougÿSEA",16,2,0.1,-8,-4,-0.5,0,-3,0,0,2,8,0,0,0,0.00%
"Hill, JoshÿNO",16,1,0.1,-8,-8,-0.5,0,-8,0,0,1,8,0,0,0,0.00%
"Moore, ChrisÿBAL",13,2,0.2,-9,-4.5,-0.7,0,-4,0,0,2,9,0,0,0,0.00%
"Jones, LandryÿPIT",3,8,2.7,-10,-1.3,-3.3,0,0,0,0,1,6,0,0,0,0.00%
"King, MarquetteÿOAK",16,2,0.1,-14,-7,-0.9,0,-3,0,0,2,14,0,0,0,0.00%
"Doctson, JoshÿWSH",16,1,0.1,-14,-14,-0.9,0,-14,0,0,1,14,0,0,0,0.00%
